"LineKey","PrimaryKey","PointLoc","PointNbr","species","Height"
"201A","201A",1,1,"PG",31
"201A","201A",1,1,"AG",9.2
"201A","201A",1,1,"Forb",0
"201A","201A",5,5,"PG",7
"201A","201A",5,5,"AG",7.5
"201A","201A",5,5,"Forb",0
"201A","201A",9,9,"PG",19
"201A","201A",9,9,"AG",7.5
"201A","201A",9,9,"Forb",0
"201A","201A",13,13,"PG",35
"201A","201A",13,13,"AG",5
"201A","201A",13,13,"Forb",0
"201A","201A",17,17,"PG",32
"201A","201A",17,17,"AG",7
"201A","201A",17,17,"Forb",0
"201A","201A",21,21,"PG",8
"201A","201A",21,21,"AG",8
"201A","201A",21,21,"Forb",0
"201A","201A",25,25,"PG",34.5
"201A","201A",25,25,"AG",3
"201A","201A",25,25,"Forb",0
"201A","201A",29,29,"PG",37
"201A","201A",29,29,"AG",0
"201A","201A",29,29,"Forb",0
"201G","201G",1,1,"PG",0
"201G","201G",1,1,"AG",25.5
"201G","201G",1,1,"Forb",23.5
"201G","201G",5,5,"PG",16.3
"201G","201G",5,5,"AG",7.5
"201G","201G",5,5,"Forb",33.7
"201G","201G",9,9,"PG",45.5
"201G","201G",9,9,"AG",13
"201G","201G",9,9,"Forb",15
"201G","201G",13,13,"PG",43.6
"201G","201G",13,13,"AG",7
"201G","201G",13,13,"Forb",0
"201G","201G",17,17,"PG",37.5
"201G","201G",17,17,"AG",15
"201G","201G",17,17,"Forb",21
"201G","201G",21,21,"PG",47
"201G","201G",21,21,"AG",5
"201G","201G",21,21,"Forb",23
"201G","201G",25,25,"PG",26
"201G","201G",25,25,"AG",5
"201G","201G",25,25,"Forb",0
"201G","201G",29,29,"PG",45
"201G","201G",29,29,"AG",0
"201G","201G",29,29,"Forb",0
"202A","202A",1,1,"PG",27
"202A","202A",1,1,"AG",0
"202A","202A",1,1,"Forb",0
"202A","202A",5,5,"PG",39
"202A","202A",5,5,"AG",0
"202A","202A",5,5,"Forb",0
"202A","202A",9,9,"PG",31
"202A","202A",9,9,"AG",0
"202A","202A",9,9,"Forb",0
"202A","202A",13,13,"PG",35.5
"202A","202A",13,13,"AG",0
"202A","202A",13,13,"Forb",0
"202A","202A",17,17,"PG",37
"202A","202A",17,17,"AG",0
"202A","202A",17,17,"Forb",0
"202A","202A",21,21,"PG",41
"202A","202A",21,21,"AG",0
"202A","202A",21,21,"Forb",4
"202A","202A",25,25,"PG",31
"202A","202A",25,25,"AG",0
"202A","202A",25,25,"Forb",4
"202A","202A",29,29,"PG",24.5
"202A","202A",29,29,"AG",0
"202A","202A",29,29,"Forb",5
"202G","202G",1,1,"PG",24
"202G","202G",1,1,"AG",0
"202G","202G",1,1,"Forb",0
"202G","202G",5,5,"PG",16
"202G","202G",5,5,"AG",0
"202G","202G",5,5,"Forb",0
"202G","202G",9,9,"PG",21
"202G","202G",9,9,"AG",0
"202G","202G",9,9,"Forb",0
"202G","202G",13,13,"PG",47
"202G","202G",13,13,"AG",0
"202G","202G",13,13,"Forb",0
"202G","202G",17,17,"PG",37.5
"202G","202G",17,17,"AG",0
"202G","202G",17,17,"Forb",0
"202G","202G",21,21,"PG",29.5
"202G","202G",21,21,"AG",0
"202G","202G",21,21,"Forb",0
"202G","202G",25,25,"PG",20
"202G","202G",25,25,"AG",0
"202G","202G",25,25,"Forb",0
"202G","202G",29,29,"PG",17.5
"202G","202G",29,29,"AG",0
"202G","202G",29,29,"Forb",0
"203A","203A",1,1,"PG",46
"203A","203A",1,1,"AG",0
"203A","203A",1,1,"Forb",0
"203A","203A",5,5,"PG",31
"203A","203A",5,5,"AG",0
"203A","203A",5,5,"Forb",0
"203A","203A",9,9,"PG",37
"203A","203A",9,9,"AG",0
"203A","203A",9,9,"Forb",0
"203A","203A",13,13,"PG",40
"203A","203A",13,13,"AG",0
"203A","203A",13,13,"Forb",0
"203A","203A",17,17,"PG",39
"203A","203A",17,17,"AG",0
"203A","203A",17,17,"Forb",0
"203A","203A",21,21,"PG",5.5
"203A","203A",21,21,"AG",0
"203A","203A",21,21,"Forb",0
"203A","203A",25,25,"PG",17
"203A","203A",25,25,"AG",0
"203A","203A",25,25,"Forb",0
"203A","203A",29,29,"PG",42
"203A","203A",29,29,"AG",0
"203A","203A",29,29,"Forb",0
"203G","203G",1,1,"PG",41.5
"203G","203G",1,1,"AG",11.5
"203G","203G",1,1,"Forb",0
"203G","203G",5,5,"PG",17.5
"203G","203G",5,5,"AG",18
"203G","203G",5,5,"Forb",0
"203G","203G",9,9,"PG",44.5
"203G","203G",9,9,"AG",20
"203G","203G",9,9,"Forb",0
"203G","203G",13,13,"PG",52.5
"203G","203G",13,13,"AG",9.5
"203G","203G",13,13,"Forb",7.5
"203G","203G",17,17,"PG",51.5
"203G","203G",17,17,"AG",9
"203G","203G",17,17,"Forb",0
"203G","203G",21,21,"PG",25.5
"203G","203G",21,21,"AG",18
"203G","203G",21,21,"Forb",0
"203G","203G",25,25,"PG",23
"203G","203G",25,25,"AG",13.5
"203G","203G",25,25,"Forb",29
"203G","203G",29,29,"PG",46.5
"203G","203G",29,29,"AG",9.5
"203G","203G",29,29,"Forb",0
"204A","204A",1,1,"PG",3.5
"204A","204A",1,1,"AG",14
"204A","204A",1,1,"Forb",37.5
"204A","204A",5,5,"PG",18
"204A","204A",5,5,"AG",11
"204A","204A",5,5,"Forb",0
"204A","204A",9,9,"PG",30
"204A","204A",9,9,"AG",26
"204A","204A",9,9,"Forb",14
"204A","204A",13,13,"PG",16.6
"204A","204A",13,13,"AG",5
"204A","204A",13,13,"Forb",12.5
"204A","204A",17,17,"PG",12.1
"204A","204A",17,17,"AG",9.5
"204A","204A",17,17,"Forb",1
"204A","204A",21,21,"PG",0
"204A","204A",21,21,"AG",22
"204A","204A",21,21,"Forb",12
"204A","204A",25,25,"PG",8
"204A","204A",25,25,"AG",25
"204A","204A",25,25,"Forb",17
"204A","204A",29,29,"PG",10.9
"204A","204A",29,29,"AG",9.2
"204A","204A",29,29,"Forb",0
"204G","204G",1,1,"PG",28
"204G","204G",1,1,"AG",0
"204G","204G",1,1,"Forb",0
"204G","204G",5,5,"PG",47
"204G","204G",5,5,"AG",12
"204G","204G",5,5,"Forb",6
"204G","204G",9,9,"PG",29
"204G","204G",9,9,"AG",11
"204G","204G",9,9,"Forb",0
"204G","204G",13,13,"PG",24
"204G","204G",13,13,"AG",8
"204G","204G",13,13,"Forb",0
"204G","204G",17,17,"PG",33
"204G","204G",17,17,"AG",9
"204G","204G",17,17,"Forb",4
"204G","204G",21,21,"PG",14
"204G","204G",21,21,"AG",10
"204G","204G",21,21,"Forb",0
"204G","204G",25,25,"PG",24
"204G","204G",25,25,"AG",6
"204G","204G",25,25,"Forb",0
"204G","204G",29,29,"PG",14
"204G","204G",29,29,"AG",0
"204G","204G",29,29,"Forb",4
"205A","205A",1,1,"PG",12.5
"205A","205A",1,1,"AG",0
"205A","205A",1,1,"Forb",5
"205A","205A",5,5,"PG",22
"205A","205A",5,5,"AG",7.5
"205A","205A",5,5,"Forb",0
"205A","205A",9,9,"PG",16.5
"205A","205A",9,9,"AG",9
"205A","205A",9,9,"Forb",4.5
"205A","205A",13,13,"PG",19
"205A","205A",13,13,"AG",7
"205A","205A",13,13,"Forb",2
"205A","205A",17,17,"PG",0
"205A","205A",17,17,"AG",10
"205A","205A",17,17,"Forb",6.5
"205A","205A",21,21,"PG",30
"205A","205A",21,21,"AG",7
"205A","205A",21,21,"Forb",18
"205A","205A",25,25,"PG",17
"205A","205A",25,25,"AG",10
"205A","205A",25,25,"Forb",5
"205A","205A",29,29,"PG",39
"205A","205A",29,29,"AG",6
"205A","205A",29,29,"Forb",0
"205G","205G",1,1,"PG",37.5
"205G","205G",1,1,"AG",0
"205G","205G",1,1,"Forb",7
"205G","205G",5,5,"PG",36
"205G","205G",5,5,"AG",0
"205G","205G",5,5,"Forb",0
"205G","205G",9,9,"PG",31
"205G","205G",9,9,"AG",0
"205G","205G",9,9,"Forb",15
"205G","205G",13,13,"PG",25
"205G","205G",13,13,"AG",0
"205G","205G",13,13,"Forb",7
"205G","205G",17,17,"PG",17.9
"205G","205G",17,17,"AG",11.5
"205G","205G",17,17,"Forb",10.5
"205G","205G",21,21,"PG",32
"205G","205G",21,21,"AG",31
"205G","205G",21,21,"Forb",8
"205G","205G",25,25,"PG",42
"205G","205G",25,25,"AG",20
"205G","205G",25,25,"Forb",0
"205G","205G",29,29,"PG",42
"205G","205G",29,29,"AG",0
"205G","205G",29,29,"Forb",0
"206A","206A",1,1,"PG",42.5
"206A","206A",1,1,"AG",0
"206A","206A",1,1,"Forb",0
"206A","206A",5,5,"PG",68
"206A","206A",5,5,"AG",0
"206A","206A",5,5,"Forb",0
"206A","206A",9,9,"PG",53.5
"206A","206A",9,9,"AG",0
"206A","206A",9,9,"Forb",0
"206A","206A",13,13,"PG",36
"206A","206A",13,13,"AG",0
"206A","206A",13,13,"Forb",0
"206A","206A",17,17,"PG",64
"206A","206A",17,17,"AG",0
"206A","206A",17,17,"Forb",0
"206A","206A",21,21,"PG",41
"206A","206A",21,21,"AG",0
"206A","206A",21,21,"Forb",0
"206A","206A",25,25,"PG",37.5
"206A","206A",25,25,"AG",0
"206A","206A",25,25,"Forb",20.5
"206A","206A",29,29,"PG",39
"206A","206A",29,29,"AG",0
"206A","206A",29,29,"Forb",0
"206G","206G",1,1,"PG",49
"206G","206G",1,1,"AG",0
"206G","206G",1,1,"Forb",0
"206G","206G",5,5,"PG",40.5
"206G","206G",5,5,"AG",0
"206G","206G",5,5,"Forb",0
"206G","206G",9,9,"PG",39.5
"206G","206G",9,9,"AG",0
"206G","206G",9,9,"Forb",0
"206G","206G",13,13,"PG",41
"206G","206G",13,13,"AG",0
"206G","206G",13,13,"Forb",0
"206G","206G",17,17,"PG",38
"206G","206G",17,17,"AG",0
"206G","206G",17,17,"Forb",0
"206G","206G",21,21,"PG",37
"206G","206G",21,21,"AG",0
"206G","206G",21,21,"Forb",0
"206G","206G",25,25,"PG",45
"206G","206G",25,25,"AG",0
"206G","206G",25,25,"Forb",0
"206G","206G",29,29,"PG",36.5
"206G","206G",29,29,"AG",0
"206G","206G",29,29,"Forb",0
"207A","207A",1,1,"PG",30
"207A","207A",1,1,"AG",0
"207A","207A",1,1,"Forb",0
"207A","207A",5,5,"PG",32
"207A","207A",5,5,"AG",0
"207A","207A",5,5,"Forb",0
"207A","207A",9,9,"PG",49.5
"207A","207A",9,9,"AG",0
"207A","207A",9,9,"Forb",0
"207A","207A",13,13,"PG",15
"207A","207A",13,13,"AG",0
"207A","207A",13,13,"Forb",3
"207A","207A",17,17,"PG",9.5
"207A","207A",17,17,"AG",0
"207A","207A",17,17,"Forb",0
"207A","207A",21,21,"PG",37
"207A","207A",21,21,"AG",0
"207A","207A",21,21,"Forb",0
"207A","207A",25,25,"PG",3
"207A","207A",25,25,"AG",2
"207A","207A",25,25,"Forb",0
"207A","207A",29,29,"PG",38.5
"207A","207A",29,29,"AG",0
"207A","207A",29,29,"Forb",0
"207G","207G",1,1,"PG",0
"207G","207G",1,1,"AG",0
"207G","207G",1,1,"Forb",7
"207G","207G",5,5,"PG",0
"207G","207G",5,5,"AG",0
"207G","207G",5,5,"Forb",7
"207G","207G",9,9,"PG",0
"207G","207G",9,9,"AG",0
"207G","207G",9,9,"Forb",6
"207G","207G",13,13,"PG",0
"207G","207G",13,13,"AG",0
"207G","207G",13,13,"Forb",11
"207G","207G",17,17,"PG",0
"207G","207G",17,17,"AG",0
"207G","207G",17,17,"Forb",7.5
"207G","207G",21,21,"PG",0
"207G","207G",21,21,"AG",0
"207G","207G",21,21,"Forb",7
"207G","207G",25,25,"PG",0
"207G","207G",25,25,"AG",0
"207G","207G",25,25,"Forb",7.5
"207G","207G",29,29,"PG",0
"207G","207G",29,29,"AG",0
"207G","207G",29,29,"Forb",11
"208A","208A",1,1,"PG",17
"208A","208A",1,1,"AG",15
"208A","208A",1,1,"Forb",4
"208A","208A",5,5,"PG",22
"208A","208A",5,5,"AG",14
"208A","208A",5,5,"Forb",5
"208A","208A",9,9,"PG",25
"208A","208A",9,9,"AG",0
"208A","208A",9,9,"Forb",0
"208A","208A",13,13,"PG",47
"208A","208A",13,13,"AG",5
"208A","208A",13,13,"Forb",7
"208A","208A",17,17,"PG",48
"208A","208A",17,17,"AG",0
"208A","208A",17,17,"Forb",0
"208A","208A",21,21,"PG",33.5
"208A","208A",21,21,"AG",6
"208A","208A",21,21,"Forb",0
"208A","208A",25,25,"PG",16
"208A","208A",25,25,"AG",13.5
"208A","208A",25,25,"Forb",0
"208A","208A",29,29,"PG",31
"208A","208A",29,29,"AG",7
"208A","208A",29,29,"Forb",3
"208G","208G",1,1,"PG",4.5
"208G","208G",1,1,"AG",9
"208G","208G",1,1,"Forb",6.5
"208G","208G",5,5,"PG",14
"208G","208G",5,5,"AG",11
"208G","208G",5,5,"Forb",9
"208G","208G",9,9,"PG",18
"208G","208G",9,9,"AG",2
"208G","208G",9,9,"Forb",12
"208G","208G",13,13,"PG",9.5
"208G","208G",13,13,"AG",6.5
"208G","208G",13,13,"Forb",14
"208G","208G",17,17,"PG",23
"208G","208G",17,17,"AG",8
"208G","208G",17,17,"Forb",12
"208G","208G",21,21,"PG",16.5
"208G","208G",21,21,"AG",12
"208G","208G",21,21,"Forb",16
"208G","208G",25,25,"PG",12
"208G","208G",25,25,"AG",7
"208G","208G",25,25,"Forb",14.2
"208G","208G",29,29,"PG",8
"208G","208G",29,29,"AG",6.5
"208G","208G",29,29,"Forb",15
"209A","209A",1,1,"PG",50
"209A","209A",1,1,"AG",0
"209A","209A",1,1,"Forb",0
"209A","209A",5,5,"PG",45
"209A","209A",5,5,"AG",0
"209A","209A",5,5,"Forb",0
"209A","209A",9,9,"PG",44
"209A","209A",9,9,"AG",0
"209A","209A",9,9,"Forb",0
"209A","209A",13,13,"PG",49
"209A","209A",13,13,"AG",0
"209A","209A",13,13,"Forb",0
"209A","209A",17,17,"PG",53
"209A","209A",17,17,"AG",0
"209A","209A",17,17,"Forb",0
"209A","209A",21,21,"PG",58
"209A","209A",21,21,"AG",5.5
"209A","209A",21,21,"Forb",0
"209A","209A",25,25,"PG",32
"209A","209A",25,25,"AG",0
"209A","209A",25,25,"Forb",0
"209A","209A",29,29,"PG",51
"209A","209A",29,29,"AG",0
"209A","209A",29,29,"Forb",0
"209G","209G",1,1,"PG",50
"209G","209G",1,1,"AG",12
"209G","209G",1,1,"Forb",27
"209G","209G",5,5,"PG",32
"209G","209G",5,5,"AG",13
"209G","209G",5,5,"Forb",22.5
"209G","209G",9,9,"PG",40
"209G","209G",9,9,"AG",7
"209G","209G",9,9,"Forb",11
"209G","209G",13,13,"PG",26
"209G","209G",13,13,"AG",7
"209G","209G",13,13,"Forb",5.5
"209G","209G",17,17,"PG",44
"209G","209G",17,17,"AG",9
"209G","209G",17,17,"Forb",24
"209G","209G",21,21,"PG",37.5
"209G","209G",21,21,"AG",7
"209G","209G",21,21,"Forb",18
"209G","209G",25,25,"PG",32
"209G","209G",25,25,"AG",8
"209G","209G",25,25,"Forb",8.5
"209G","209G",29,29,"PG",33
"209G","209G",29,29,"AG",12
"209G","209G",29,29,"Forb",42.5
"210A","210A",1,1,"PG",28
"210A","210A",1,1,"AG",0
"210A","210A",1,1,"Forb",8
"210A","210A",5,5,"PG",21.5
"210A","210A",5,5,"AG",23
"210A","210A",5,5,"Forb",3
"210A","210A",9,9,"PG",45
"210A","210A",9,9,"AG",0
"210A","210A",9,9,"Forb",0
"210A","210A",13,13,"PG",62
"210A","210A",13,13,"AG",14.5
"210A","210A",13,13,"Forb",0
"210A","210A",17,17,"PG",44
"210A","210A",17,17,"AG",17.5
"210A","210A",17,17,"Forb",6
"210A","210A",21,21,"PG",35
"210A","210A",21,21,"AG",0
"210A","210A",21,21,"Forb",9
"210A","210A",25,25,"PG",48
"210A","210A",25,25,"AG",32
"210A","210A",25,25,"Forb",20
"210A","210A",29,29,"PG",22
"210A","210A",29,29,"AG",9
"210A","210A",29,29,"Forb",10
"210G","210G",1,1,"PG",8
"210G","210G",1,1,"AG",12
"210G","210G",1,1,"Forb",12
"210G","210G",5,5,"PG",10
"210G","210G",5,5,"AG",6
"210G","210G",5,5,"Forb",4
"210G","210G",9,9,"PG",16
"210G","210G",9,9,"AG",10
"210G","210G",9,9,"Forb",16
"210G","210G",13,13,"PG",14
"210G","210G",13,13,"AG",8
"210G","210G",13,13,"Forb",14.5
"210G","210G",17,17,"PG",19
"210G","210G",17,17,"AG",13
"210G","210G",17,17,"Forb",20
"210G","210G",21,21,"PG",19
"210G","210G",21,21,"AG",9
"210G","210G",21,21,"Forb",11
"210G","210G",25,25,"PG",29
"210G","210G",25,25,"AG",11
"210G","210G",25,25,"Forb",14
"210G","210G",29,29,"PG",10
"210G","210G",29,29,"AG",16.5
"210G","210G",29,29,"Forb",7.5
"211A","211A",1,1,"PG",12.5
"211A","211A",1,1,"AG",5
"211A","211A",1,1,"Forb",4
"211A","211A",5,5,"PG",21
"211A","211A",5,5,"AG",0
"211A","211A",5,5,"Forb",0
"211A","211A",9,9,"PG",35.5
"211A","211A",9,9,"AG",3
"211A","211A",9,9,"Forb",0
"211A","211A",13,13,"PG",36
"211A","211A",13,13,"AG",7
"211A","211A",13,13,"Forb",0
"211A","211A",17,17,"PG",9
"211A","211A",17,17,"AG",9
"211A","211A",17,17,"Forb",0
"211A","211A",21,21,"PG",34
"211A","211A",21,21,"AG",0
"211A","211A",21,21,"Forb",0
"211A","211A",25,25,"PG",9
"211A","211A",25,25,"AG",0
"211A","211A",25,25,"Forb",0
"211A","211A",29,29,"PG",14
"211A","211A",29,29,"AG",0
"211A","211A",29,29,"Forb",0
"211G","211G",1,1,"PG",24
"211G","211G",1,1,"AG",12
"211G","211G",1,1,"Forb",16
"211G","211G",5,5,"PG",26
"211G","211G",5,5,"AG",9
"211G","211G",5,5,"Forb",20
"211G","211G",9,9,"PG",23
"211G","211G",9,9,"AG",10
"211G","211G",9,9,"Forb",11
"211G","211G",13,13,"PG",17
"211G","211G",13,13,"AG",0
"211G","211G",13,13,"Forb",37.5
"211G","211G",17,17,"PG",24
"211G","211G",17,17,"AG",0
"211G","211G",17,17,"Forb",16
"211G","211G",21,21,"PG",17.5
"211G","211G",21,21,"AG",0
"211G","211G",21,21,"Forb",6
"211G","211G",25,25,"PG",23
"211G","211G",25,25,"AG",0
"211G","211G",25,25,"Forb",24
"211G","211G",29,29,"PG",16
"211G","211G",29,29,"AG",0
"211G","211G",29,29,"Forb",17.5
"212A","212A",1,1,"PG",31
"212A","212A",1,1,"AG",6
"212A","212A",1,1,"Forb",2
"212A","212A",5,5,"PG",19
"212A","212A",5,5,"AG",11
"212A","212A",5,5,"Forb",19
"212A","212A",9,9,"PG",37
"212A","212A",9,9,"AG",0
"212A","212A",9,9,"Forb",0
"212A","212A",13,13,"PG",34
"212A","212A",13,13,"AG",0
"212A","212A",13,13,"Forb",0
"212A","212A",17,17,"PG",39
"212A","212A",17,17,"AG",8
"212A","212A",17,17,"Forb",4
"212A","212A",21,21,"PG",15
"212A","212A",21,21,"AG",5
"212A","212A",21,21,"Forb",0
"212A","212A",25,25,"PG",22
"212A","212A",25,25,"AG",13
"212A","212A",25,25,"Forb",5
"212A","212A",29,29,"PG",24
"212A","212A",29,29,"AG",0
"212A","212A",29,29,"Forb",0
"212G","212G",1,1,"PG",19
"212G","212G",1,1,"AG",0
"212G","212G",1,1,"Forb",2
"212G","212G",5,5,"PG",38
"212G","212G",5,5,"AG",14
"212G","212G",5,5,"Forb",11
"212G","212G",9,9,"PG",34
"212G","212G",9,9,"AG",0
"212G","212G",9,9,"Forb",29
"212G","212G",13,13,"PG",38
"212G","212G",13,13,"AG",0
"212G","212G",13,13,"Forb",18
"212G","212G",17,17,"PG",35
"212G","212G",17,17,"AG",0
"212G","212G",17,17,"Forb",16
"212G","212G",21,21,"PG",27
"212G","212G",21,21,"AG",10
"212G","212G",21,21,"Forb",0
"212G","212G",25,25,"PG",21
"212G","212G",25,25,"AG",5.5
"212G","212G",25,25,"Forb",32
"212G","212G",29,29,"PG",39
"212G","212G",29,29,"AG",12
"212G","212G",29,29,"Forb",16
"213A","213A",1,1,"PG",44.5
"213A","213A",1,1,"AG",0
"213A","213A",1,1,"Forb",0
"213A","213A",5,5,"PG",40
"213A","213A",5,5,"AG",0
"213A","213A",5,5,"Forb",0
"213A","213A",9,9,"PG",48
"213A","213A",9,9,"AG",0
"213A","213A",9,9,"Forb",0
"213A","213A",13,13,"PG",47.5
"213A","213A",13,13,"AG",0
"213A","213A",13,13,"Forb",0
"213A","213A",17,17,"PG",56
"213A","213A",17,17,"AG",0
"213A","213A",17,17,"Forb",0
"213A","213A",21,21,"PG",44.5
"213A","213A",21,21,"AG",0
"213A","213A",21,21,"Forb",0
"213A","213A",25,25,"PG",39
"213A","213A",25,25,"AG",0
"213A","213A",25,25,"Forb",0
"213A","213A",29,29,"PG",37
"213A","213A",29,29,"AG",0
"213A","213A",29,29,"Forb",0
"213G","213G",1,1,"PG",19
"213G","213G",1,1,"AG",10
"213G","213G",1,1,"Forb",16
"213G","213G",5,5,"PG",29
"213G","213G",5,5,"AG",10
"213G","213G",5,5,"Forb",22
"213G","213G",9,9,"PG",30
"213G","213G",9,9,"AG",14
"213G","213G",9,9,"Forb",22
"213G","213G",13,13,"PG",32
"213G","213G",13,13,"AG",4
"213G","213G",13,13,"Forb",15
"213G","213G",17,17,"PG",28
"213G","213G",17,17,"AG",7
"213G","213G",17,17,"Forb",13
"213G","213G",21,21,"PG",19
"213G","213G",21,21,"AG",6
"213G","213G",21,21,"Forb",17
"213G","213G",25,25,"PG",28
"213G","213G",25,25,"AG",19
"213G","213G",25,25,"Forb",10.5
"213G","213G",29,29,"PG",20
"213G","213G",29,29,"AG",4
"213G","213G",29,29,"Forb",0
"214A","214A",1,1,"PG",30
"214A","214A",1,1,"AG",10
"214A","214A",1,1,"Forb",0
"214A","214A",5,5,"PG",31
"214A","214A",5,5,"AG",8.5
"214A","214A",5,5,"Forb",3
"214A","214A",9,9,"PG",44
"214A","214A",9,9,"AG",0
"214A","214A",9,9,"Forb",0
"214A","214A",13,13,"PG",38.5
"214A","214A",13,13,"AG",0
"214A","214A",13,13,"Forb",0
"214A","214A",17,17,"PG",53
"214A","214A",17,17,"AG",0
"214A","214A",17,17,"Forb",3
"214A","214A",21,21,"PG",45
"214A","214A",21,21,"AG",0
"214A","214A",21,21,"Forb",0
"214A","214A",25,25,"PG",23
"214A","214A",25,25,"AG",0
"214A","214A",25,25,"Forb",0
"214A","214A",29,29,"PG",46
"214A","214A",29,29,"AG",0
"214A","214A",29,29,"Forb",0
"214G","214G",1,1,"PG",17
"214G","214G",1,1,"AG",9
"214G","214G",1,1,"Forb",0
"214G","214G",5,5,"PG",40
"214G","214G",5,5,"AG",0
"214G","214G",5,5,"Forb",6.5
"214G","214G",9,9,"PG",37
"214G","214G",9,9,"AG",8
"214G","214G",9,9,"Forb",25
"214G","214G",13,13,"PG",0
"214G","214G",13,13,"AG",0
"214G","214G",13,13,"Forb",7
"214G","214G",17,17,"PG",20
"214G","214G",17,17,"AG",10
"214G","214G",17,17,"Forb",0
"214G","214G",21,21,"PG",0
"214G","214G",21,21,"AG",0
"214G","214G",21,21,"Forb",6
"214G","214G",25,25,"PG",29
"214G","214G",25,25,"AG",0
"214G","214G",25,25,"Forb",5
"214G","214G",29,29,"PG",27
"214G","214G",29,29,"AG",0
"214G","214G",29,29,"Forb",6
"215A","215A",1,1,"PG",33
"215A","215A",1,1,"AG",0
"215A","215A",1,1,"Forb",0
"215A","215A",5,5,"PG",4
"215A","215A",5,5,"AG",6
"215A","215A",5,5,"Forb",0
"215A","215A",9,9,"PG",15
"215A","215A",9,9,"AG",0
"215A","215A",9,9,"Forb",0
"215A","215A",13,13,"PG",33
"215A","215A",13,13,"AG",0
"215A","215A",13,13,"Forb",0
"215A","215A",17,17,"PG",37
"215A","215A",17,17,"AG",0
"215A","215A",17,17,"Forb",0
"215A","215A",21,21,"PG",83
"215A","215A",21,21,"AG",0
"215A","215A",21,21,"Forb",0
"215A","215A",25,25,"PG",6
"215A","215A",25,25,"AG",7
"215A","215A",25,25,"Forb",17
"215A","215A",29,29,"PG",7
"215A","215A",29,29,"AG",0
"215A","215A",29,29,"Forb",0
"215G","215G",1,1,"PG",8
"215G","215G",1,1,"AG",0
"215G","215G",1,1,"Forb",6.5
"215G","215G",5,5,"PG",54
"215G","215G",5,5,"AG",0
"215G","215G",5,5,"Forb",17
"215G","215G",9,9,"PG",46
"215G","215G",9,9,"AG",0
"215G","215G",9,9,"Forb",52.5
"215G","215G",13,13,"PG",12
"215G","215G",13,13,"AG",0
"215G","215G",13,13,"Forb",11
"215G","215G",17,17,"PG",0
"215G","215G",17,17,"AG",0
"215G","215G",17,17,"Forb",10
"215G","215G",21,21,"PG",4
"215G","215G",21,21,"AG",0
"215G","215G",21,21,"Forb",4
"215G","215G",25,25,"PG",23
"215G","215G",25,25,"AG",0
"215G","215G",25,25,"Forb",10
"215G","215G",29,29,"PG",36
"215G","215G",29,29,"AG",0
"215G","215G",29,29,"Forb",11
"216A","216A",1,1,"PG",0
