"LineKey","PrimaryKey","PointLoc","PointNbr","species","Height"
"216A","216A",1,1,"AG",14
"216A","216A",1,1,"Forb",14.5
"216A","216A",5,5,"PG",0
"216A","216A",5,5,"AG",19
"216A","216A",5,5,"Forb",7
"216A","216A",9,9,"PG",5
"216A","216A",9,9,"AG",13.5
"216A","216A",9,9,"Forb",45
"216A","216A",13,13,"PG",0
"216A","216A",13,13,"AG",23
"216A","216A",13,13,"Forb",31
"216A","216A",17,17,"PG",0
"216A","216A",17,17,"AG",16
"216A","216A",17,17,"Forb",17
"216A","216A",21,21,"PG",0
"216A","216A",21,21,"AG",19
"216A","216A",21,21,"Forb",26
"216A","216A",25,25,"PG",0
"216A","216A",25,25,"AG",19
"216A","216A",25,25,"Forb",15
"216A","216A",29,29,"PG",0
"216A","216A",29,29,"AG",19
"216A","216A",29,29,"Forb",12
"216G","216G",1,1,"PG",20
"216G","216G",1,1,"AG",0
"216G","216G",1,1,"Forb",67
"216G","216G",5,5,"PG",65
"216G","216G",5,5,"AG",0
"216G","216G",5,5,"Forb",19
"216G","216G",9,9,"PG",59.5
"216G","216G",9,9,"AG",3
"216G","216G",9,9,"Forb",0
"216G","216G",13,13,"PG",13
"216G","216G",13,13,"AG",8
"216G","216G",13,13,"Forb",7
"216G","216G",17,17,"PG",53
"216G","216G",17,17,"AG",3
"216G","216G",17,17,"Forb",2
"216G","216G",21,21,"PG",24
"216G","216G",21,21,"AG",0
"216G","216G",21,21,"Forb",37
"216G","216G",25,25,"PG",39
"216G","216G",25,25,"AG",0
"216G","216G",25,25,"Forb",22
"216G","216G",29,29,"PG",17
"216G","216G",29,29,"AG",0
"216G","216G",29,29,"Forb",5
"217A","217A",1,1,"PG",40
"217A","217A",1,1,"AG",8
"217A","217A",1,1,"Forb",4
"217A","217A",5,5,"PG",20
"217A","217A",5,5,"AG",5
"217A","217A",5,5,"Forb",4
"217A","217A",9,9,"PG",50.5
"217A","217A",9,9,"AG",16
"217A","217A",9,9,"Forb",0
"217A","217A",13,13,"PG",43.5
"217A","217A",13,13,"AG",13
"217A","217A",13,13,"Forb",13
"217A","217A",17,17,"PG",0
"217A","217A",17,17,"AG",19
"217A","217A",17,17,"Forb",7
"217A","217A",21,21,"PG",34
"217A","217A",21,21,"AG",0
"217A","217A",21,21,"Forb",3
"217A","217A",25,25,"PG",0
"217A","217A",25,25,"AG",16
"217A","217A",25,25,"Forb",13
"217A","217A",29,29,"PG",31
"217A","217A",29,29,"AG",3
"217A","217A",29,29,"Forb",0
"217G","217G",1,1,"PG",32
"217G","217G",1,1,"AG",0
"217G","217G",1,1,"Forb",24
"217G","217G",5,5,"PG",13
"217G","217G",5,5,"AG",6
"217G","217G",5,5,"Forb",12
"217G","217G",9,9,"PG",61
"217G","217G",9,9,"AG",0
"217G","217G",9,9,"Forb",7
"217G","217G",13,13,"PG",54
"217G","217G",13,13,"AG",0
"217G","217G",13,13,"Forb",0
"217G","217G",17,17,"PG",13
"217G","217G",17,17,"AG",0
"217G","217G",17,17,"Forb",7
"217G","217G",21,21,"PG",39
"217G","217G",21,21,"AG",0
"217G","217G",21,21,"Forb",4
"217G","217G",25,25,"PG",52
"217G","217G",25,25,"AG",0
"217G","217G",25,25,"Forb",0
"217G","217G",29,29,"PG",32
"217G","217G",29,29,"AG",3
"217G","217G",29,29,"Forb",2
"218A","218A",1,1,"PG",28
"218A","218A",1,1,"AG",6
"218A","218A",1,1,"Forb",0
"218A","218A",5,5,"PG",21
"218A","218A",5,5,"AG",9
"218A","218A",5,5,"Forb",0
"218A","218A",9,9,"PG",19
"218A","218A",9,9,"AG",5
"218A","218A",9,9,"Forb",0
"218A","218A",13,13,"PG",25
"218A","218A",13,13,"AG",19
"218A","218A",13,13,"Forb",0
"218A","218A",17,17,"PG",35
"218A","218A",17,17,"AG",15
"218A","218A",17,17,"Forb",0
"218A","218A",21,21,"PG",28
"218A","218A",21,21,"AG",8
"218A","218A",21,21,"Forb",0
"218A","218A",25,25,"PG",24
"218A","218A",25,25,"AG",5
"218A","218A",25,25,"Forb",0
"218A","218A",29,29,"PG",33
"218A","218A",29,29,"AG",16
"218A","218A",29,29,"Forb",0
"218G","218G",1,1,"PG",40
"218G","218G",1,1,"AG",6
"218G","218G",1,1,"Forb",23
"218G","218G",5,5,"PG",12
"218G","218G",5,5,"AG",14
"218G","218G",5,5,"Forb",1
"218G","218G",9,9,"PG",64
"218G","218G",9,9,"AG",5.5
"218G","218G",9,9,"Forb",0
"218G","218G",13,13,"PG",33
"218G","218G",13,13,"AG",0
"218G","218G",13,13,"Forb",3
"218G","218G",17,17,"PG",35
"218G","218G",17,17,"AG",0
"218G","218G",17,17,"Forb",11
"218G","218G",21,21,"PG",47
"218G","218G",21,21,"AG",11
"218G","218G",21,21,"Forb",14
"218G","218G",25,25,"PG",30
"218G","218G",25,25,"AG",7.5
"218G","218G",25,25,"Forb",12
"218G","218G",29,29,"PG",36
"218G","218G",29,29,"AG",15
"218G","218G",29,29,"Forb",25
"219A","219A",1,1,"PG",0
"219A","219A",1,1,"AG",27
"219A","219A",1,1,"Forb",24
"219A","219A",5,5,"PG",21
"219A","219A",5,5,"AG",5
"219A","219A",5,5,"Forb",2
"219A","219A",9,9,"PG",7
"219A","219A",9,9,"AG",20
"219A","219A",9,9,"Forb",10
"219A","219A",13,13,"PG",24
"219A","219A",13,13,"AG",22
"219A","219A",13,13,"Forb",11
"219A","219A",17,17,"PG",20
"219A","219A",17,17,"AG",7
"219A","219A",17,17,"Forb",4
"219A","219A",21,21,"PG",12
"219A","219A",21,21,"AG",25
"219A","219A",21,21,"Forb",15
"219A","219A",25,25,"PG",29
"219A","219A",25,25,"AG",14
"219A","219A",25,25,"Forb",0
"219A","219A",29,29,"PG",28
"219A","219A",29,29,"AG",3
"219A","219A",29,29,"Forb",2
"219G","219G",1,1,"PG",26
"219G","219G",1,1,"AG",5
"219G","219G",1,1,"Forb",7
"219G","219G",5,5,"PG",22.5
"219G","219G",5,5,"AG",9
"219G","219G",5,5,"Forb",12
"219G","219G",9,9,"PG",24.5
"219G","219G",9,9,"AG",5
"219G","219G",9,9,"Forb",10
"219G","219G",13,13,"PG",26
"219G","219G",13,13,"AG",7
"219G","219G",13,13,"Forb",5
"219G","219G",17,17,"PG",30
"219G","219G",17,17,"AG",0
"219G","219G",17,17,"Forb",6
"219G","219G",21,21,"PG",33
"219G","219G",21,21,"AG",8
"219G","219G",21,21,"Forb",7
"219G","219G",25,25,"PG",26
"219G","219G",25,25,"AG",8.5
"219G","219G",25,25,"Forb",3
"219G","219G",29,29,"PG",6
"219G","219G",29,29,"AG",11
"219G","219G",29,29,"Forb",9
"220A","220A",1,1,"PG",0
"220A","220A",1,1,"AG",11
"220A","220A",1,1,"Forb",5
"220A","220A",5,5,"PG",43
"220A","220A",5,5,"AG",8
"220A","220A",5,5,"Forb",0
"220A","220A",9,9,"PG",0
"220A","220A",9,9,"AG",10
"220A","220A",9,9,"Forb",9
"220A","220A",13,13,"PG",9.5
"220A","220A",13,13,"AG",7
"220A","220A",13,13,"Forb",8
"220A","220A",17,17,"PG",25
"220A","220A",17,17,"AG",4
"220A","220A",17,17,"Forb",4
"220A","220A",21,21,"PG",0
"220A","220A",21,21,"AG",12
"220A","220A",21,21,"Forb",6
"220A","220A",25,25,"PG",23
"220A","220A",25,25,"AG",13
"220A","220A",25,25,"Forb",4
"220A","220A",29,29,"PG",4
"220A","220A",29,29,"AG",10
"220A","220A",29,29,"Forb",2
"220G","220G",1,1,"PG",4
"220G","220G",1,1,"AG",0
"220G","220G",1,1,"Forb",6
"220G","220G",5,5,"PG",8.5
"220G","220G",5,5,"AG",0
"220G","220G",5,5,"Forb",4
"220G","220G",9,9,"PG",11
"220G","220G",9,9,"AG",5
"220G","220G",9,9,"Forb",13
"220G","220G",13,13,"PG",28
"220G","220G",13,13,"AG",6
"220G","220G",13,13,"Forb",0
"220G","220G",17,17,"PG",10.5
"220G","220G",17,17,"AG",3.5
"220G","220G",17,17,"Forb",3
"220G","220G",21,21,"PG",6
"220G","220G",21,21,"AG",4
"220G","220G",21,21,"Forb",5
"220G","220G",25,25,"PG",13.5
"220G","220G",25,25,"AG",7.5
"220G","220G",25,25,"Forb",3.5
"220G","220G",29,29,"PG",10
"220G","220G",29,29,"AG",9
"220G","220G",29,29,"Forb",8
"221A","221A",1,1,"PG",45
"221A","221A",1,1,"AG",20
"221A","221A",1,1,"Forb",27
"221A","221A",5,5,"PG",31
"221A","221A",5,5,"AG",0
"221A","221A",5,5,"Forb",0
"221A","221A",9,9,"PG",30
"221A","221A",9,9,"AG",0
"221A","221A",9,9,"Forb",0
"221A","221A",13,13,"PG",51
"221A","221A",13,13,"AG",0
"221A","221A",13,13,"Forb",0
"221A","221A",17,17,"PG",40
"221A","221A",17,17,"AG",0
"221A","221A",17,17,"Forb",0
"221A","221A",21,21,"PG",36
"221A","221A",21,21,"AG",0
"221A","221A",21,21,"Forb",0
"221A","221A",25,25,"PG",38
"221A","221A",25,25,"AG",0
"221A","221A",25,25,"Forb",4
"221A","221A",29,29,"PG",50
"221A","221A",29,29,"AG",0
"221A","221A",29,29,"Forb",31
"221G","221G",1,1,"PG",22
"221G","221G",1,1,"AG",0
"221G","221G",1,1,"Forb",0
"221G","221G",5,5,"PG",21
"221G","221G",5,5,"AG",0
"221G","221G",5,5,"Forb",0
"221G","221G",9,9,"PG",39
"221G","221G",9,9,"AG",9
"221G","221G",9,9,"Forb",0
"221G","221G",13,13,"PG",22
"221G","221G",13,13,"AG",5
"221G","221G",13,13,"Forb",0
"221G","221G",17,17,"PG",28
"221G","221G",17,17,"AG",0
"221G","221G",17,17,"Forb",0
"221G","221G",21,21,"PG",27
"221G","221G",21,21,"AG",3
"221G","221G",21,21,"Forb",0
"221G","221G",25,25,"PG",32
"221G","221G",25,25,"AG",0
"221G","221G",25,25,"Forb",0
"221G","221G",29,29,"PG",38
"221G","221G",29,29,"AG",6
"221G","221G",29,29,"Forb",44
"222A","222A",1,1,"PG",6
"222A","222A",1,1,"AG",0
"222A","222A",1,1,"Forb",4
"222A","222A",5,5,"PG",5
"222A","222A",5,5,"AG",0
"222A","222A",5,5,"Forb",2
"222A","222A",9,9,"PG",14
"222A","222A",9,9,"AG",0
"222A","222A",9,9,"Forb",11
"222A","222A",13,13,"PG",4
"222A","222A",13,13,"AG",0
"222A","222A",13,13,"Forb",2
"222A","222A",17,17,"PG",0
"222A","222A",17,17,"AG",10
"222A","222A",17,17,"Forb",4
"222A","222A",21,21,"PG",0
"222A","222A",21,21,"AG",10
"222A","222A",21,21,"Forb",12
"222A","222A",25,25,"PG",0
"222A","222A",25,25,"AG",15
"222A","222A",25,25,"Forb",14
"222A","222A",29,29,"PG",0
"222A","222A",29,29,"AG",12
"222A","222A",29,29,"Forb",8
"222G","222G",1,1,"PG",0
"222G","222G",1,1,"AG",0
"222G","222G",1,1,"Forb",10
"222G","222G",5,5,"PG",0
"222G","222G",5,5,"AG",12
"222G","222G",5,5,"Forb",9
"222G","222G",9,9,"PG",34
"222G","222G",9,9,"AG",0
"222G","222G",9,9,"Forb",4.5
"222G","222G",13,13,"PG",27
"222G","222G",13,13,"AG",0
"222G","222G",13,13,"Forb",0
"222G","222G",17,17,"PG",0
"222G","222G",17,17,"AG",0
"222G","222G",17,17,"Forb",10
"222G","222G",21,21,"PG",2
"222G","222G",21,21,"AG",0
"222G","222G",21,21,"Forb",6.5
"222G","222G",25,25,"PG",0
"222G","222G",25,25,"AG",0
"222G","222G",25,25,"Forb",15
"222G","222G",29,29,"PG",0
"222G","222G",29,29,"AG",0
"222G","222G",29,29,"Forb",11.5
"223A","223A",1,1,"PG",35
"223A","223A",1,1,"AG",6
"223A","223A",1,1,"Forb",3
"223A","223A",5,5,"PG",29
"223A","223A",5,5,"AG",0
"223A","223A",5,5,"Forb",0
"223A","223A",9,9,"PG",37
"223A","223A",9,9,"AG",8
"223A","223A",9,9,"Forb",10
"223A","223A",13,13,"PG",0
"223A","223A",13,13,"AG",17
"223A","223A",13,13,"Forb",9
"223A","223A",17,17,"PG",0
"223A","223A",17,17,"AG",13
"223A","223A",17,17,"Forb",10
"223A","223A",21,21,"PG",56
"223A","223A",21,21,"AG",9
"223A","223A",21,21,"Forb",5
"223A","223A",25,25,"PG",15
"223A","223A",25,25,"AG",0
"223A","223A",25,25,"Forb",7
"223A","223A",29,29,"PG",64
"223A","223A",29,29,"AG",0
"223A","223A",29,29,"Forb",7
"223G","223G",1,1,"PG",82
"223G","223G",1,1,"AG",0
"223G","223G",1,1,"Forb",0
"223G","223G",5,5,"PG",0
"223G","223G",5,5,"AG",0
"223G","223G",5,5,"Forb",12
"223G","223G",9,9,"PG",48
"223G","223G",9,9,"AG",0
"223G","223G",9,9,"Forb",4
"223G","223G",13,13,"PG",4
"223G","223G",13,13,"AG",0
"223G","223G",13,13,"Forb",4
"223G","223G",17,17,"PG",59
"223G","223G",17,17,"AG",0
"223G","223G",17,17,"Forb",11
"223G","223G",21,21,"PG",0
"223G","223G",21,21,"AG",0
"223G","223G",21,21,"Forb",14
"223G","223G",25,25,"PG",0
"223G","223G",25,25,"AG",0
"223G","223G",25,25,"Forb",18
"223G","223G",29,29,"PG",0
"223G","223G",29,29,"AG",0
"223G","223G",29,29,"Forb",33
"224A","224A",1,1,"PG",45
"224A","224A",1,1,"AG",0
"224A","224A",1,1,"Forb",0
"224A","224A",5,5,"PG",48.5
"224A","224A",5,5,"AG",0
"224A","224A",5,5,"Forb",0
"224A","224A",9,9,"PG",8.5
"224A","224A",9,9,"AG",0
"224A","224A",9,9,"Forb",0
"224A","224A",13,13,"PG",43
"224A","224A",13,13,"AG",10
"224A","224A",13,13,"Forb",20
"224A","224A",17,17,"PG",55
"224A","224A",17,17,"AG",10
"224A","224A",17,17,"Forb",4
"224A","224A",21,21,"PG",32
"224A","224A",21,21,"AG",4
"224A","224A",21,21,"Forb",16
"224A","224A",25,25,"PG",54.5
"224A","224A",25,25,"AG",0
"224A","224A",25,25,"Forb",0
"224A","224A",29,29,"PG",48
"224A","224A",29,29,"AG",8
"224A","224A",29,29,"Forb",0
"224G","224G",1,1,"PG",21
"224G","224G",1,1,"AG",27
"224G","224G",1,1,"Forb",23
"224G","224G",5,5,"PG",13
"224G","224G",5,5,"AG",24
"224G","224G",5,5,"Forb",12
"224G","224G",9,9,"PG",26
"224G","224G",9,9,"AG",0
"224G","224G",9,9,"Forb",6
"224G","224G",13,13,"PG",32
"224G","224G",13,13,"AG",20
"224G","224G",13,13,"Forb",12
"224G","224G",17,17,"PG",8
"224G","224G",17,17,"AG",26
"224G","224G",17,17,"Forb",8
"224G","224G",21,21,"PG",6
"224G","224G",21,21,"AG",11
"224G","224G",21,21,"Forb",15
"224G","224G",25,25,"PG",11
"224G","224G",25,25,"AG",15
"224G","224G",25,25,"Forb",20
"224G","224G",29,29,"PG",14
"224G","224G",29,29,"AG",20
"224G","224G",29,29,"Forb",12
"225A","225A",1,1,"PG",22
"225A","225A",1,1,"AG",0
"225A","225A",1,1,"Forb",0
"225A","225A",5,5,"PG",5
"225A","225A",5,5,"AG",0
"225A","225A",5,5,"Forb",5
"225A","225A",9,9,"PG",34
"225A","225A",9,9,"AG",0
"225A","225A",9,9,"Forb",31
"225A","225A",13,13,"PG",13
"225A","225A",13,13,"AG",12.5
"225A","225A",13,13,"Forb",43
"225A","225A",17,17,"PG",5
"225A","225A",17,17,"AG",0
"225A","225A",17,17,"Forb",32
"225A","225A",21,21,"PG",8
"225A","225A",21,21,"AG",2
"225A","225A",21,21,"Forb",42.5
"225A","225A",25,25,"PG",15
"225A","225A",25,25,"AG",6
"225A","225A",25,25,"Forb",4
"225A","225A",29,29,"PG",19
"225A","225A",29,29,"AG",20
"225A","225A",29,29,"Forb",15
"225G","225G",1,1,"PG",35
"225G","225G",1,1,"AG",20
"225G","225G",1,1,"Forb",18
"225G","225G",5,5,"PG",41
"225G","225G",5,5,"AG",17
"225G","225G",5,5,"Forb",21
"225G","225G",9,9,"PG",43
"225G","225G",9,9,"AG",16
"225G","225G",9,9,"Forb",34
"225G","225G",13,13,"PG",32
"225G","225G",13,13,"AG",23
"225G","225G",13,13,"Forb",8
"225G","225G",17,17,"PG",37
"225G","225G",17,17,"AG",15
"225G","225G",17,17,"Forb",24
"225G","225G",21,21,"PG",40
"225G","225G",21,21,"AG",24
"225G","225G",21,21,"Forb",18
"225G","225G",25,25,"PG",48
"225G","225G",25,25,"AG",17
"225G","225G",25,25,"Forb",28
"225G","225G",29,29,"PG",28
"225G","225G",29,29,"AG",16
"225G","225G",29,29,"Forb",28
"226A","226A",1,1,"PG",32
"226A","226A",1,1,"AG",24
"226A","226A",1,1,"Forb",48
"226A","226A",5,5,"PG",36
"226A","226A",5,5,"AG",0
"226A","226A",5,5,"Forb",0
"226A","226A",9,9,"PG",29
"226A","226A",9,9,"AG",0
"226A","226A",9,9,"Forb",0
"226A","226A",13,13,"PG",37
"226A","226A",13,13,"AG",14
"226A","226A",13,13,"Forb",9
"226A","226A",17,17,"PG",22
"226A","226A",17,17,"AG",21
"226A","226A",17,17,"Forb",16
"226A","226A",21,21,"PG",27
"226A","226A",21,21,"AG",20
"226A","226A",21,21,"Forb",6
"226A","226A",25,25,"PG",42
"226A","226A",25,25,"AG",0
"226A","226A",25,25,"Forb",0
"226A","226A",29,29,"PG",37
"226A","226A",29,29,"AG",15.5
"226A","226A",29,29,"Forb",7.5
"226G","226G",1,1,"PG",26.5
"226G","226G",1,1,"AG",19
"226G","226G",1,1,"Forb",28.5
"226G","226G",5,5,"PG",30
"226G","226G",5,5,"AG",8
"226G","226G",5,5,"Forb",29
"226G","226G",9,9,"PG",16.5
"226G","226G",9,9,"AG",14
"226G","226G",9,9,"Forb",8
"226G","226G",13,13,"PG",22.5
"226G","226G",13,13,"AG",16
"226G","226G",13,13,"Forb",22
"226G","226G",17,17,"PG",22
"226G","226G",17,17,"AG",11.5
"226G","226G",17,17,"Forb",2
"226G","226G",21,21,"PG",19
"226G","226G",21,21,"AG",17
"226G","226G",21,21,"Forb",26
"226G","226G",25,25,"PG",23
"226G","226G",25,25,"AG",11
"226G","226G",25,25,"Forb",8
"226G","226G",29,29,"PG",22
"226G","226G",29,29,"AG",9
"226G","226G",29,29,"Forb",3
"227A","227A",1,1,"PG",35
"227A","227A",1,1,"AG",14.5
"227A","227A",1,1,"Forb",5
"227A","227A",5,5,"PG",39
"227A","227A",5,5,"AG",18
"227A","227A",5,5,"Forb",0
"227A","227A",9,9,"PG",47
"227A","227A",9,9,"AG",16
"227A","227A",9,9,"Forb",4
"227A","227A",13,13,"PG",35.5
"227A","227A",13,13,"AG",22
"227A","227A",13,13,"Forb",6.5
"227A","227A",17,17,"PG",36
"227A","227A",17,17,"AG",15
"227A","227A",17,17,"Forb",0
"227A","227A",21,21,"PG",34
"227A","227A",21,21,"AG",9
"227A","227A",21,21,"Forb",33
"227A","227A",25,25,"PG",55
"227A","227A",25,25,"AG",20
"227A","227A",25,25,"Forb",0
"227A","227A",29,29,"PG",45
"227A","227A",29,29,"AG",5
"227A","227A",29,29,"Forb",0
"227G","227G",1,1,"PG",28
"227G","227G",1,1,"AG",17
"227G","227G",1,1,"Forb",16
"227G","227G",5,5,"PG",25.5
"227G","227G",5,5,"AG",15
"227G","227G",5,5,"Forb",7.5
"227G","227G",9,9,"PG",26
"227G","227G",9,9,"AG",8
"227G","227G",9,9,"Forb",11
"227G","227G",13,13,"PG",26
"227G","227G",13,13,"AG",14
"227G","227G",13,13,"Forb",5.5
"227G","227G",17,17,"PG",29.5
"227G","227G",17,17,"AG",15.5
"227G","227G",17,17,"Forb",5
"227G","227G",21,21,"PG",29
"227G","227G",21,21,"AG",14
"227G","227G",21,21,"Forb",4
"227G","227G",25,25,"PG",32.5
"227G","227G",25,25,"AG",15
"227G","227G",25,25,"Forb",12
"227G","227G",29,29,"PG",33
"227G","227G",29,29,"AG",18
"227G","227G",29,29,"Forb",0
"228A","228A",1,1,"PG",0
"228A","228A",1,1,"AG",28
"228A","228A",1,1,"Forb",59
"228A","228A",5,5,"PG",28
"228A","228A",5,5,"AG",16.5
"228A","228A",5,5,"Forb",20
"228A","228A",9,9,"PG",21
"228A","228A",9,9,"AG",6
"228A","228A",9,9,"Forb",4
"228A","228A",13,13,"PG",32
"228A","228A",13,13,"AG",17
"228A","228A",13,13,"Forb",24.5
"228A","228A",17,17,"PG",30
"228A","228A",17,17,"AG",14
"228A","228A",17,17,"Forb",3
"228A","228A",21,21,"PG",22
"228A","228A",21,21,"AG",22.5
"228A","228A",21,21,"Forb",34
"228A","228A",25,25,"PG",24
"228A","228A",25,25,"AG",12
"228A","228A",25,25,"Forb",17.5
"228A","228A",29,29,"PG",21.5
"228A","228A",29,29,"AG",11.5
"228A","228A",29,29,"Forb",12
"228G","228G",1,1,"PG",0
"228G","228G",1,1,"AG",38
"228G","228G",1,1,"Forb",40
"228G","228G",5,5,"PG",27.5
"228G","228G",5,5,"AG",23
"228G","228G",5,5,"Forb",32
"228G","228G",9,9,"PG",22
"228G","228G",9,9,"AG",28
"228G","228G",9,9,"Forb",18
"228G","228G",13,13,"PG",31
"228G","228G",13,13,"AG",22
"228G","228G",13,13,"Forb",29
"228G","228G",17,17,"PG",24
"228G","228G",17,17,"AG",20
"228G","228G",17,17,"Forb",19.5
"228G","228G",21,21,"PG",27.5
"228G","228G",21,21,"AG",26
"228G","228G",21,21,"Forb",32
"228G","228G",25,25,"PG",0
"228G","228G",25,25,"AG",33.5
"228G","228G",25,25,"Forb",19
"228G","228G",29,29,"PG",0
"228G","228G",29,29,"AG",35
"228G","228G",29,29,"Forb",57
"229A","229A",1,1,"PG",24
"229A","229A",1,1,"AG",36
"229A","229A",1,1,"Forb",57
"229A","229A",5,5,"PG",40
"229A","229A",5,5,"AG",34
"229A","229A",5,5,"Forb",30
"229A","229A",9,9,"PG",32
"229A","229A",9,9,"AG",24
"229A","229A",9,9,"Forb",37
"229A","229A",13,13,"PG",19
"229A","229A",13,13,"AG",17
"229A","229A",13,13,"Forb",24
"229A","229A",17,17,"PG",30
"229A","229A",17,17,"AG",26
"229A","229A",17,17,"Forb",48
"229A","229A",21,21,"PG",22
"229A","229A",21,21,"AG",24
"229A","229A",21,21,"Forb",56
"229A","229A",25,25,"PG",26
"229A","229A",25,25,"AG",20
"229A","229A",25,25,"Forb",41.5
"229A","229A",29,29,"PG",21
"229A","229A",29,29,"AG",18
"229A","229A",29,29,"Forb",33
"229G","229G",1,1,"PG",29
"229G","229G",1,1,"AG",38
"229G","229G",1,1,"Forb",22
"229G","229G",5,5,"PG",30
"229G","229G",5,5,"AG",23.5
"229G","229G",5,5,"Forb",30
"229G","229G",9,9,"PG",31
"229G","229G",9,9,"AG",28
"229G","229G",9,9,"Forb",53
"229G","229G",13,13,"PG",17.5
"229G","229G",13,13,"AG",28
"229G","229G",13,13,"Forb",48
"229G","229G",17,17,"PG",0
"229G","229G",17,17,"AG",26
"229G","229G",17,17,"Forb",45
"229G","229G",21,21,"PG",27
"229G","229G",21,21,"AG",20.5
"229G","229G",21,21,"Forb",29
"229G","229G",25,25,"PG",26
"229G","229G",25,25,"AG",13
"229G","229G",25,25,"Forb",9
"229G","229G",29,29,"PG",21
"229G","229G",29,29,"AG",30
"229G","229G",29,29,"Forb",17
"230A","230A",1,1,"PG",61
"230A","230A",1,1,"AG",13
"230A","230A",1,1,"Forb",20
"230A","230A",5,5,"PG",35
"230A","230A",5,5,"AG",14.5
"230A","230A",5,5,"Forb",5
"230A","230A",9,9,"PG",30
"230A","230A",9,9,"AG",15
"230A","230A",9,9,"Forb",14
"230A","230A",13,13,"PG",53
"230A","230A",13,13,"AG",21
"230A","230A",13,13,"Forb",7
"230A","230A",17,17,"PG",27
"230A","230A",17,17,"AG",23
"230A","230A",17,17,"Forb",10
"230A","230A",21,21,"PG",48
"230A","230A",21,21,"AG",22
"230A","230A",21,21,"Forb",7
"230A","230A",25,25,"PG",44.5
"230A","230A",25,25,"AG",31
"230A","230A",25,25,"Forb",46
"230A","230A",29,29,"PG",25
"230A","230A",29,29,"AG",30
"230A","230A",29,29,"Forb",12
"230G","230G",1,1,"PG",40
"230G","230G",1,1,"AG",19
"230G","230G",1,1,"Forb",14
"230G","230G",5,5,"PG",32
"230G","230G",5,5,"AG",22
"230G","230G",5,5,"Forb",4
"230G","230G",9,9,"PG",34.5
"230G","230G",9,9,"AG",16
"230G","230G",9,9,"Forb",36.5
"230G","230G",13,13,"PG",27
"230G","230G",13,13,"AG",27
"230G","230G",13,13,"Forb",32.5
"230G","230G",17,17,"PG",28
"230G","230G",17,17,"AG",34
"230G","230G",17,17,"Forb",53
"230G","230G",21,21,"PG",35
"230G","230G",21,21,"AG",14.5
"230G","230G",21,21,"Forb",17.5
"230G","230G",25,25,"PG",37.5
"230G","230G",25,25,"AG",23
"230G","230G",25,25,"Forb",52.5
"230G","230G",29,29,"PG",55.5
"230G","230G",29,29,"AG",15
"230G","230G",29,29,"Forb",20
"231A","231A",1,1,"PG",29
"231A","231A",1,1,"AG",26
"231A","231A",1,1,"Forb",26
