LineKey,PrimaryKey,PointLoc,PointNbr,PG,AG,Forb
201A,201A,1,1,31,9.2,0
201A,201A,5,5,7,7.5,0
201A,201A,9,9,19,7.5,0
201A,201A,13,13,35,5,0
201A,201A,17,17,32,7,0
201A,201A,21,21,8,8,0
201A,201A,25,25,34.5,3,0
201A,201A,29,29,37,0,0
201G,201G,1,1,0,25.5,23.5
201G,201G,5,5,16.3,7.5,33.7
201G,201G,9,9,45.5,13,15
201G,201G,13,13,43.6,7,0
201G,201G,17,17,37.5,15,21
201G,201G,21,21,47,5,23
201G,201G,25,25,26,5,0
201G,201G,29,29,45,0,0
202A,202A,1,1,27,0,0
202A,202A,5,5,39,0,0
202A,202A,9,9,31,0,0
202A,202A,13,13,35.5,0,0
202A,202A,17,17,37,0,0
202A,202A,21,21,41,0,4
202A,202A,25,25,31,0,4
202A,202A,29,29,24.5,0,5
202G,202G,1,1,24,0,0
202G,202G,5,5,16,0,0
202G,202G,9,9,21,0,0
202G,202G,13,13,47,0,0
202G,202G,17,17,37.5,0,0
202G,202G,21,21,29.5,0,0
202G,202G,25,25,20,0,0
202G,202G,29,29,17.5,0,0
203A,203A,1,1,46,0,0
203A,203A,5,5,31,0,0
203A,203A,9,9,37,0,0
203A,203A,13,13,40,0,0
203A,203A,17,17,39,0,0
203A,203A,21,21,5.5,0,0
203A,203A,25,25,17,0,0
203A,203A,29,29,42,0,0
203G,203G,1,1,41.5,11.5,0
203G,203G,5,5,17.5,18,0
203G,203G,9,9,44.5,20,0
203G,203G,13,13,52.5,9.5,7.5
203G,203G,17,17,51.5,9,0
203G,203G,21,21,25.5,18,0
203G,203G,25,25,23,13.5,29
203G,203G,29,29,46.5,9.5,0
204A,204A,1,1,3.5,14,37.5
204A,204A,5,5,18,11,0
204A,204A,9,9,30,26,14
204A,204A,13,13,16.6,5,12.5
204A,204A,17,17,12.1,9.5,1
204A,204A,21,21,0,22,12
204A,204A,25,25,8,25,17
204A,204A,29,29,10.9,9.2,0
204G,204G,1,1,28,0,0
204G,204G,5,5,47,12,6
204G,204G,9,9,29,11,0
204G,204G,13,13,24,8,0
204G,204G,17,17,33,9,4
204G,204G,21,21,14,10,0
204G,204G,25,25,24,6,0
204G,204G,29,29,14,0,4
205A,205A,1,1,12.5,0,5
205A,205A,5,5,22,7.5,0
205A,205A,9,9,16.5,9,4.5
205A,205A,13,13,19,7,2
205A,205A,17,17,0,10,6.5
205A,205A,21,21,30,7,18
205A,205A,25,25,17,10,5
205A,205A,29,29,39,6,0
205G,205G,1,1,37.5,0,7
205G,205G,5,5,36,0,0
205G,205G,9,9,31,0,15
205G,205G,13,13,25,0,7
205G,205G,17,17,17.9,11.5,10.5
205G,205G,21,21,32,31,8
205G,205G,25,25,42,20,0
205G,205G,29,29,42,0,0
206A,206A,1,1,42.5,0,0
206A,206A,5,5,68,0,0
206A,206A,9,9,53.5,0,0
206A,206A,13,13,36,0,0
206A,206A,17,17,64,0,0
206A,206A,21,21,41,0,0
206A,206A,25,25,37.5,0,20.5
206A,206A,29,29,39,0,0
206G,206G,1,1,49,0,0
206G,206G,5,5,40.5,0,0
206G,206G,9,9,39.5,0,0
206G,206G,13,13,41,0,0
206G,206G,17,17,38,0,0
206G,206G,21,21,37,0,0
206G,206G,25,25,45,0,0
206G,206G,29,29,36.5,0,0
207A,207A,1,1,30,0,0
207A,207A,5,5,32,0,0
207A,207A,9,9,49.5,0,0
207A,207A,13,13,15,0,3
207A,207A,17,17,9.5,0,0
207A,207A,21,21,37,0,0
207A,207A,25,25,3,2,0
207A,207A,29,29,38.5,0,0
207G,207G,1,1,0,0,7
207G,207G,5,5,0,0,7
207G,207G,9,9,0,0,6
207G,207G,13,13,0,0,11
207G,207G,17,17,0,0,7.5
207G,207G,21,21,0,0,7
207G,207G,25,25,0,0,7.5
207G,207G,29,29,0,0,11
208A,208A,1,1,17,15,4
208A,208A,5,5,22,14,5
208A,208A,9,9,25,0,0
208A,208A,13,13,47,5,7
208A,208A,17,17,48,0,0
208A,208A,21,21,33.5,6,0
208A,208A,25,25,16,13.5,0
208A,208A,29,29,31,7,3
208G,208G,1,1,4.5,9,6.5
208G,208G,5,5,14,11,9
208G,208G,9,9,18,2,12
208G,208G,13,13,9.5,6.5,14
208G,208G,17,17,23,8,12
208G,208G,21,21,16.5,12,16
208G,208G,25,25,12,7,14.2
208G,208G,29,29,8,6.5,15
209A,209A,1,1,50,0,0
209A,209A,5,5,45,0,0
209A,209A,9,9,44,0,0
209A,209A,13,13,49,0,0
209A,209A,17,17,53,0,0
209A,209A,21,21,58,5.5,0
209A,209A,25,25,32,0,0
209A,209A,29,29,51,0,0
209G,209G,1,1,50,12,27
209G,209G,5,5,32,13,22.5
209G,209G,9,9,40,7,11
209G,209G,13,13,26,7,5.5
209G,209G,17,17,44,9,24
209G,209G,21,21,37.5,7,18
209G,209G,25,25,32,8,8.5
209G,209G,29,29,33,12,42.5
210A,210A,1,1,28,0,8
210A,210A,5,5,21.5,23,3
210A,210A,9,9,45,0,0
210A,210A,13,13,62,14.5,0
210A,210A,17,17,44,17.5,6
210A,210A,21,21,35,0,9
210A,210A,25,25,48,32,20
210A,210A,29,29,22,9,10
210G,210G,1,1,8,12,12
210G,210G,5,5,10,6,4
210G,210G,9,9,16,10,16
210G,210G,13,13,14,8,14.5
210G,210G,17,17,19,13,20
210G,210G,21,21,19,9,11
210G,210G,25,25,29,11,14
210G,210G,29,29,10,16.5,7.5
211A,211A,1,1,12.5,5,4
211A,211A,5,5,21,0,0
211A,211A,9,9,35.5,3,0
211A,211A,13,13,36,7,0
211A,211A,17,17,9,9,0
211A,211A,21,21,34,0,0
211A,211A,25,25,9,0,0
211A,211A,29,29,14,0,0
211G,211G,1,1,24,12,16
211G,211G,5,5,26,9,20
211G,211G,9,9,23,10,11
211G,211G,13,13,17,0,37.5
211G,211G,17,17,24,0,16
211G,211G,21,21,17.5,0,6
211G,211G,25,25,23,0,24
211G,211G,29,29,16,0,17.5
212A,212A,1,1,31,6,2
212A,212A,5,5,19,11,19
212A,212A,9,9,37,0,0
212A,212A,13,13,34,0,0
212A,212A,17,17,39,8,4
212A,212A,21,21,15,5,0
212A,212A,25,25,22,13,5
212A,212A,29,29,24,0,0
212G,212G,1,1,19,0,2
212G,212G,5,5,38,14,11
212G,212G,9,9,34,0,29
212G,212G,13,13,38,0,18
212G,212G,17,17,35,0,16
212G,212G,21,21,27,10,0
212G,212G,25,25,21,5.5,32
212G,212G,29,29,39,12,16
213A,213A,1,1,44.5,0,0
213A,213A,5,5,40,0,0
213A,213A,9,9,48,0,0
213A,213A,13,13,47.5,0,0
213A,213A,17,17,56,0,0
213A,213A,21,21,44.5,0,0
213A,213A,25,25,39,0,0
213A,213A,29,29,37,0,0
213G,213G,1,1,19,10,16
213G,213G,5,5,29,10,22
213G,213G,9,9,30,14,22
213G,213G,13,13,32,4,15
213G,213G,17,17,28,7,13
213G,213G,21,21,19,6,17
213G,213G,25,25,28,19,10.5
213G,213G,29,29,20,4,0
214A,214A,1,1,30,10,0
214A,214A,5,5,31,8.5,3
214A,214A,9,9,44,0,0
214A,214A,13,13,38.5,0,0
214A,214A,17,17,53,0,3
214A,214A,21,21,45,0,0
214A,214A,25,25,23,0,0
214A,214A,29,29,46,0,0
214G,214G,1,1,17,9,0
214G,214G,5,5,40,0,6.5
214G,214G,9,9,37,8,25
214G,214G,13,13,0,0,7
214G,214G,17,17,20,10,0
214G,214G,21,21,0,0,6
214G,214G,25,25,29,0,5
214G,214G,29,29,27,0,6
215A,215A,1,1,33,0,0
215A,215A,5,5,4,6,0
215A,215A,9,9,15,0,0
215A,215A,13,13,33,0,0
215A,215A,17,17,37,0,0
215A,215A,21,21,83,0,0
215A,215A,25,25,6,7,17
215A,215A,29,29,7,0,0
215G,215G,1,1,8,0,6.5
215G,215G,5,5,54,0,17
215G,215G,9,9,46,0,52.5
215G,215G,13,13,12,0,11
215G,215G,17,17,0,0,10
215G,215G,21,21,4,0,4
215G,215G,25,25,23,0,10
215G,215G,29,29,36,0,11
216A,216A,1,1,0,14,14.5
216A,216A,5,5,0,19,7
216A,216A,9,9,5,13.5,45
216A,216A,13,13,0,23,31
216A,216A,17,17,0,16,17
216A,216A,21,21,0,19,26
216A,216A,25,25,0,19,15
216A,216A,29,29,0,19,12
216G,216G,1,1,20,0,67
216G,216G,5,5,65,0,19
216G,216G,9,9,59.5,3,0
216G,216G,13,13,13,8,7
216G,216G,17,17,53,3,2
216G,216G,21,21,24,0,37
216G,216G,25,25,39,0,22
216G,216G,29,29,17,0,5
217A,217A,1,1,40,8,4
217A,217A,5,5,20,5,4
217A,217A,9,9,50.5,16,0
217A,217A,13,13,43.5,13,13
217A,217A,17,17,0,19,7
217A,217A,21,21,34,0,3
217A,217A,25,25,0,16,13
217A,217A,29,29,31,3,0
217G,217G,1,1,32,0,24
217G,217G,5,5,13,6,12
217G,217G,9,9,61,0,7
217G,217G,13,13,54,0,0
217G,217G,17,17,13,0,7
217G,217G,21,21,39,0,4
217G,217G,25,25,52,0,0
217G,217G,29,29,32,3,2
218A,218A,1,1,28,6,0
218A,218A,5,5,21,9,0
218A,218A,9,9,19,5,0
218A,218A,13,13,25,19,0
218A,218A,17,17,35,15,0
218A,218A,21,21,28,8,0
218A,218A,25,25,24,5,0
218A,218A,29,29,33,16,0
218G,218G,1,1,40,6,23
218G,218G,5,5,12,14,1
218G,218G,9,9,64,5.5,0
218G,218G,13,13,33,0,3
218G,218G,17,17,35,0,11
218G,218G,21,21,47,11,14
218G,218G,25,25,30,7.5,12
218G,218G,29,29,36,15,25
219A,219A,1,1,0,27,24
219A,219A,5,5,21,5,2
219A,219A,9,9,7,20,10
219A,219A,13,13,24,22,11
219A,219A,17,17,20,7,4
219A,219A,21,21,12,25,15
219A,219A,25,25,29,14,0
219A,219A,29,29,28,3,2
219G,219G,1,1,26,5,7
219G,219G,5,5,22.5,9,12
219G,219G,9,9,24.5,5,10
219G,219G,13,13,26,7,5
219G,219G,17,17,30,0,6
219G,219G,21,21,33,8,7
219G,219G,25,25,26,8.5,3
219G,219G,29,29,6,11,9
220A,220A,1,1,0,11,5
220A,220A,5,5,43,8,0
220A,220A,9,9,0,10,9
220A,220A,13,13,9.5,7,8
220A,220A,17,17,25,4,4
220A,220A,21,21,0,12,6
220A,220A,25,25,23,13,4
220A,220A,29,29,4,10,2
220G,220G,1,1,4,0,6
220G,220G,5,5,8.5,0,4
220G,220G,9,9,11,5,13
220G,220G,13,13,28,6,0
220G,220G,17,17,10.5,3.5,3
220G,220G,21,21,6,4,5
220G,220G,25,25,13.5,7.5,3.5
220G,220G,29,29,10,9,8
221A,221A,1,1,45,20,27
221A,221A,5,5,31,0,0
221A,221A,9,9,30,0,0
221A,221A,13,13,51,0,0
221A,221A,17,17,40,0,0
221A,221A,21,21,36,0,0
221A,221A,25,25,38,0,4
221A,221A,29,29,50,0,31
221G,221G,1,1,22,0,0
221G,221G,5,5,21,0,0
221G,221G,9,9,39,9,0
221G,221G,13,13,22,5,0
221G,221G,17,17,28,0,0
221G,221G,21,21,27,3,0
221G,221G,25,25,32,0,0
221G,221G,29,29,38,6,44
222A,222A,1,1,6,0,4
222A,222A,5,5,5,0,2
222A,222A,9,9,14,0,11
222A,222A,13,13,4,0,2
222A,222A,17,17,0,10,4
222A,222A,21,21,0,10,12
222A,222A,25,25,0,15,14
222A,222A,29,29,0,12,8
222G,222G,1,1,0,0,10
222G,222G,5,5,0,12,9
222G,222G,9,9,34,0,4.5
222G,222G,13,13,27,0,0
222G,222G,17,17,0,0,10
222G,222G,21,21,2,0,6.5
222G,222G,25,25,0,0,15
222G,222G,29,29,0,0,11.5
223A,223A,1,1,35,6,3
223A,223A,5,5,29,0,0
223A,223A,9,9,37,8,10
223A,223A,13,13,0,17,9
223A,223A,17,17,0,13,10
223A,223A,21,21,56,9,5
223A,223A,25,25,15,0,7
223A,223A,29,29,64,0,7
223G,223G,1,1,82,0,0
223G,223G,5,5,0,0,12
223G,223G,9,9,48,0,4
223G,223G,13,13,4,0,4
223G,223G,17,17,59,0,11
223G,223G,21,21,0,0,14
223G,223G,25,25,0,0,18
223G,223G,29,29,0,0,33
224A,224A,1,1,45,0,0
224A,224A,5,5,48.5,0,0
224A,224A,9,9,8.5,0,0
224A,224A,13,13,43,10,20
224A,224A,17,17,55,10,4
224A,224A,21,21,32,4,16
224A,224A,25,25,54.5,0,0
224A,224A,29,29,48,8,0
224G,224G,1,1,21,27,23
224G,224G,5,5,13,24,12
224G,224G,9,9,26,0,6
224G,224G,13,13,32,20,12
224G,224G,17,17,8,26,8
224G,224G,21,21,6,11,15
224G,224G,25,25,11,15,20
224G,224G,29,29,14,20,12
225A,225A,1,1,22,0,0
225A,225A,5,5,5,0,5
225A,225A,9,9,34,0,31
225A,225A,13,13,13,12.5,43
225A,225A,17,17,5,0,32
225A,225A,21,21,8,2,42.5
225A,225A,25,25,15,6,4
225A,225A,29,29,19,20,15
225G,225G,1,1,35,20,18
225G,225G,5,5,41,17,21
225G,225G,9,9,43,16,34
225G,225G,13,13,32,23,8
225G,225G,17,17,37,15,24
225G,225G,21,21,40,24,18
225G,225G,25,25,48,17,28
225G,225G,29,29,28,16,28
226A,226A,1,1,32,24,48
226A,226A,5,5,36,0,0
226A,226A,9,9,29,0,0
226A,226A,13,13,37,14,9
226A,226A,17,17,22,21,16
226A,226A,21,21,27,20,6
226A,226A,25,25,42,0,0
226A,226A,29,29,37,15.5,7.5
226G,226G,1,1,26.5,19,28.5
226G,226G,5,5,30,8,29
226G,226G,9,9,16.5,14,8
226G,226G,13,13,22.5,16,22
226G,226G,17,17,22,11.5,2
226G,226G,21,21,19,17,26
226G,226G,25,25,23,11,8
226G,226G,29,29,22,9,3
227A,227A,1,1,35,14.5,5
227A,227A,5,5,39,18,0
227A,227A,9,9,47,16,4
227A,227A,13,13,35.5,22,6.5
227A,227A,17,17,36,15,0
227A,227A,21,21,34,9,33
227A,227A,25,25,55,20,0
227A,227A,29,29,45,5,0
227G,227G,1,1,28,17,16
227G,227G,5,5,25.5,15,7.5
227G,227G,9,9,26,8,11
227G,227G,13,13,26,14,5.5
227G,227G,17,17,29.5,15.5,5
227G,227G,21,21,29,14,4
227G,227G,25,25,32.5,15,12
227G,227G,29,29,33,18,0
228A,228A,1,1,0,28,59
228A,228A,5,5,28,16.5,20
228A,228A,9,9,21,6,4
228A,228A,13,13,32,17,24.5
228A,228A,17,17,30,14,3
228A,228A,21,21,22,22.5,34
228A,228A,25,25,24,12,17.5
228A,228A,29,29,21.5,11.5,12
228G,228G,1,1,0,38,40
228G,228G,5,5,27.5,23,32
228G,228G,9,9,22,28,18
228G,228G,13,13,31,22,29
228G,228G,17,17,24,20,19.5
228G,228G,21,21,27.5,26,32
228G,228G,25,25,0,33.5,19
228G,228G,29,29,0,35,57
229A,229A,1,1,24,36,57
229A,229A,5,5,40,34,30
229A,229A,9,9,32,24,37
229A,229A,13,13,19,17,24
229A,229A,17,17,30,26,48
229A,229A,21,21,22,24,56
229A,229A,25,25,26,20,41.5
229A,229A,29,29,21,18,33
229G,229G,1,1,29,38,22
229G,229G,5,5,30,23.5,30
229G,229G,9,9,31,28,53
229G,229G,13,13,17.5,28,48
229G,229G,17,17,0,26,45
229G,229G,21,21,27,20.5,29
229G,229G,25,25,26,13,9
229G,229G,29,29,21,30,17
230A,230A,1,1,61,13,20
230A,230A,5,5,35,14.5,5
230A,230A,9,9,30,15,14
230A,230A,13,13,53,21,7
230A,230A,17,17,27,23,10
230A,230A,21,21,48,22,7
230A,230A,25,25,44.5,31,46
230A,230A,29,29,25,30,12
230G,230G,1,1,40,19,14
230G,230G,5,5,32,22,4
230G,230G,9,9,34.5,16,36.5
230G,230G,13,13,27,27,32.5
230G,230G,17,17,28,34,53
230G,230G,21,21,35,14.5,17.5
230G,230G,25,25,37.5,23,52.5
230G,230G,29,29,55.5,15,20
231A,231A,1,1,29,26,26
231A,231A,5,5,24,32,12
231A,231A,9,9,32.5,26,9
231A,231A,13,13,41,20,18
231A,231A,17,17,24,23,45
231A,231A,21,21,20,24,19
231A,231A,25,25,34,33,33
231A,231A,29,29,30.5,17,12.5
231G,231G,1,1,23,21,46
231G,231G,5,5,24,24,14
231G,231G,9,9,16,23,36
231G,231G,13,13,17,21,51.5
231G,231G,17,17,24,10,12
231G,231G,21,21,23,11,6
231G,231G,25,25,26.5,19.5,7
231G,231G,29,29,26,23.5,22
232A,232A,1,1,43,25,0
232A,232A,5,5,52,28,6
232A,232A,9,9,50,28,5
232A,232A,13,13,47,23,0
232A,232A,17,17,34,39,24
232A,232A,21,21,29,35,25
232A,232A,25,25,30,32,26.5
232A,232A,29,29,45,0,14
232G,232G,1,1,12,32,33
232G,232G,5,5,26,29,26
232G,232G,9,9,27,31.5,25
232G,232G,13,13,66.5,29.5,26
232G,232G,17,17,24,27,34
232G,232G,21,21,66,42.5,19
232G,232G,25,25,33.5,29,38
232G,232G,29,29,35,31,15
233A,233A,1,1,33,39,47.5
233A,233A,5,5,51.5,33,14
233A,233A,9,9,37,30,32
233A,233A,13,13,34,32.5,34.5
233A,233A,17,17,30,31,32
233A,233A,21,21,41,27,22
233A,233A,25,25,47,23,29
233A,233A,29,29,45,42,53.5
233G,233G,1,1,30.5,34.5,65
233G,233G,5,5,41,26,28
233G,233G,9,9,40,25,41
233G,233G,13,13,46,16,25
233G,233G,17,17,49,27,40
233G,233G,21,21,20,19.5,26.5
233G,233G,25,25,53,19,30
233G,233G,29,29,55.5,14,30
234A,234A,1,1,32,0,0
234A,234A,5,5,28,0,0
234A,234A,9,9,26,0,0
234A,234A,13,13,28,0,0
234A,234A,17,17,32,0,0
234A,234A,21,21,27,0,0
234A,234A,25,25,36,0,0
234A,234A,29,29,32,0,0
234G,234G,1,1,37,16,0
234G,234G,5,5,31,22,0
234G,234G,9,9,44,27,7
234G,234G,13,13,39,27,0
234G,234G,17,17,27,31.5,0
234G,234G,21,21,29,23,0
234G,234G,25,25,37.5,27,6.5
234G,234G,29,29,42,20,0
235A,235A,1,1,33,26,8
235A,235A,5,5,41.5,21,0
235A,235A,9,9,36,38,0
235A,235A,13,13,28,41,0
235A,235A,17,17,47,18,0
235A,235A,21,21,31,16,0
235A,235A,25,25,31,22,0
235A,235A,29,29,36,28,0
235G,235G,1,1,33.5,31,34.5
235G,235G,5,5,33,25,6
235G,235G,9,9,24,27,36
235G,235G,13,13,31,24,22
235G,235G,17,17,30,8,35
235G,235G,21,21,28,0,9.5
235G,235G,25,25,42,28,0
235G,235G,29,29,36,22,0
236A,236A,1,1,47.5,0,24
236A,236A,5,5,33,0,0
236A,236A,9,9,31,0,9
236A,236A,13,13,38,0,3.5
236A,236A,17,17,38,0,0
236A,236A,21,21,32,0,7
236A,236A,25,25,33.5,0,21
236A,236A,29,29,27,0,0
236G,236G,1,1,30.5,0,6
236G,236G,5,5,37,0,34
236G,236G,9,9,41,18,32
236G,236G,13,13,33,9,16
236G,236G,17,17,24,12,6
236G,236G,21,21,23,14,26.5
236G,236G,25,25,37,19,15
236G,236G,29,29,40.5,13,0
237A,237A,1,1,28.5,12.5,0
237A,237A,5,5,33,19,0
237A,237A,9,9,39,0,0
237A,237A,13,13,32.5,0,0
237A,237A,17,17,32,0,0
237A,237A,21,21,34,0,0
237A,237A,25,25,38.5,0,0
237A,237A,29,29,41.5,0,0
237G,237G,1,1,57.5,0,0
237G,237G,5,5,39,0,0
237G,237G,9,9,34,0,0
237G,237G,13,13,34,17.5,0
237G,237G,17,17,33,0,0
237G,237G,21,21,35,16,0
237G,237G,25,25,26,19,0
237G,237G,29,29,33,21,8
238A,238A,1,1,48.5,20,0
238A,238A,5,5,30,39,0
238A,238A,9,9,62,0,40
238A,238A,13,13,54,0,0
238A,238A,17,17,60,27,0
238A,238A,21,21,65,20,7.5
238A,238A,25,25,108,24,0
238A,238A,29,29,65,32.5,0
238G,238G,1,1,0,0,11
238G,238G,5,5,9,0,14
238G,238G,9,9,0,0,12
238G,238G,13,13,22,6,21
238G,238G,17,17,6,0,13
238G,238G,21,21,26,0,19
238G,238G,25,25,0,0,18
238G,238G,29,29,0,0,12.5
239A,239A,1,1,53.5,45,16
239A,239A,5,5,47.5,33,59
239A,239A,9,9,42,31,4
239A,239A,13,13,40,32.5,0
239A,239A,17,17,22,39,0
239A,239A,21,21,53,31.5,0
239A,239A,25,25,0,31,0
239A,239A,29,29,44,34.5,30
239G,239G,1,1,18,0,23
239G,239G,5,5,31,0,7
239G,239G,9,9,15,0,7
239G,239G,13,13,31,0,14.5
239G,239G,17,17,40.5,0,3
239G,239G,21,21,33.5,0,4
239G,239G,25,25,13,0,10
239G,239G,29,29,6,0,13
240A,240A,1,1,73,0,35
240A,240A,5,5,76,27,31
240A,240A,9,9,72,16,7
240A,240A,13,13,67.5,41,31
240A,240A,17,17,68,38,50
240A,240A,21,21,74.5,31,35
240A,240A,25,25,72,19,32
240A,240A,29,29,66,0,11
240G,240G,1,1,0,0,73
240G,240G,5,5,0,0,58
240G,240G,9,9,53,36,87
240G,240G,13,13,44,0,70
240G,240G,17,17,71.5,27,65
240G,240G,21,21,81.5,26,56
240G,240G,25,25,69,22.5,75.5
240G,240G,29,29,51,0,89
241A,241A,1,1,78.5,52.5,58
241A,241A,5,5,72,44,67
241A,241A,9,9,47,34,32
241A,241A,13,13,50,29.5,45
241A,241A,17,17,44,36,36
241A,241A,21,21,74,53,57
241A,241A,25,25,48,58,71
241A,241A,29,29,65,39.5,42
241G,241G,1,1,20,32,64
241G,241G,5,5,55,28.5,50
241G,241G,9,9,63,32,46
241G,241G,13,13,50.5,32,47
241G,241G,17,17,62,27,47
241G,241G,21,21,32,20,64
241G,241G,25,25,25,26.5,55
241G,241G,29,29,65,25,52
242A,242A,1,1,65,37.5,46
242A,242A,5,5,39.5,35.5,12
242A,242A,9,9,72,27,42
242A,242A,13,13,64,36,33
242A,242A,17,17,57,46,31
242A,242A,21,21,37,32,72
242A,242A,25,25,62,17,61
242A,242A,29,29,37,25,29
242G,242G,1,1,29,0,52
242G,242G,5,5,31,6,46
242G,242G,9,9,42.5,0,41
242G,242G,13,13,50.5,11.5,47
242G,242G,17,17,31,16,79.5
242G,242G,21,21,46.5,0,54
242G,242G,25,25,78,0,55
242G,242G,29,29,67,7,86
243A,243A,1,1,90,29.5,0
243A,243A,5,5,50,39,41
243A,243A,9,9,60.5,40,55
243A,243A,13,13,26,43,23
243A,243A,17,17,0,39,52.5
243A,243A,21,21,0,35,37
243A,243A,25,25,53,40,13
243A,243A,29,29,29,32,48
243G,243G,1,1,46,0,7
243G,243G,5,5,59,0,7
243G,243G,9,9,46,0,8
243G,243G,13,13,65,0,27
243G,243G,17,17,59,0,15
243G,243G,21,21,53,0,7
243G,243G,25,25,63,18,10
243G,243G,29,29,19,0,0
244A,244A,1,1,63,18,59.5
244A,244A,5,5,62,0,0
244A,244A,9,9,52,7,0
244A,244A,13,13,51,5,8
244A,244A,17,17,68,16,0
244A,244A,21,21,71,28,2
244A,244A,25,25,35,23,15
244A,244A,29,29,65,24,0
244G,244G,1,1,14,0,26
244G,244G,5,5,44,0,27
244G,244G,9,9,39,19,12
244G,244G,13,13,42,12,23
244G,244G,17,17,21,0,30
244G,244G,21,21,49,24,22
244G,244G,25,25,48,17,24
244G,244G,29,29,44,20,28
245A,245A,1,1,22,33,56
245A,245A,5,5,32,38,30
245A,245A,9,9,32,28,45.5
245A,245A,13,13,30,27,37
245A,245A,17,17,25,24,17
245A,245A,21,21,31,37,28
245A,245A,25,25,23,34,12
245A,245A,29,29,69,13,13
245G,245G,1,1,35,39,22
245G,245G,5,5,62,36,59
245G,245G,9,9,32,32,18
245G,245G,13,13,33,38,34.5
245G,245G,17,17,38,32,37
245G,245G,21,21,56,33,18
245G,245G,25,25,0,29.5,32
245G,245G,29,29,48,33,35
